Année;3;NA.TO;BCE.TO;CNR.TO;RY.TO;ATDb.TO;GIBa.TO;DOL.TO;BMO.TO;POW.TO;MRU.TO;QBRb.TO;PWF.TO;SAP.TO;IAG.TO;AC.TO;CAE.TO;SNC.TO;PJCa.TO;BBDb.TO;TAP.us;LB.TO;DOO.TO;CCA.TO;TCLa.TO;GIL.TO;RCH.TO;TFII.TO;BLX.TO;WSP.TO;INE.TO;;NA.TO;BCE.TO;CNR.TO;RY.TO;ATDb.TO;GIBa.TO;DOL.TO;BMO.TO;POW.TO;MRU.TO;QBRb.TO;PWF.TO;SAP.TO;IAG.TO;AC.TO;CAE.TO;SNC.TO;PJCa.TO;BBDb.TO;TAP.us;LB.TO;DOO.TO;CCA.TO;TCLa.TO;GIL.TO;RCH.TO;TFII.TO;BLX.TO;WSP.TO;INE.TO
Moyenne;3;15,59%;11,77%;19,64%;14,15%;27,34%;11,14%;40,59%;9,70%;7,95%;19,43%;6,86%;9,19%;17,16%;13,17%;4,53%;10,27%;13,48%;9,08%;-2,76%;10,36%;6,47%;1,63%;9,47%;8,81%;20,55%;20,27%;14,82%;8,99%;17,65%;10,56%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Écart-type;3;22,23%;41,37%;23,27%;21,29%;45,50%;33,46%;16,15%;29,34%;27,53%;30,05%;36,82%;26,44%;28,81%;34,35%;98,16%;40,80%;26,42%;30,40%;55,24%;24,89%;29,51%;52,24%;31,22%;43,82%;55,59%;25,67%;63,92%;43,28%;15,92%;58,07%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018-03-01;3;13,1%;-1,2%;-2,5%;7,4%;-3,4%;19,5%;42,5%;2,0%;-1,5%;2,2%;16,3%;-3,7%;-8,3%;-6,2%;94,0%;19,9%;10,6%;20,0%;83,8%;-20,2%;-14,6%;59,0%;1,5%;6,9%;4,6%;10,4%;9,4%;7,0%;30,0%;-3,6%;; 1,13    ; 0,99    ; 0,98    ; 1,07    ; 0,97    ; 1,19    ; 1,43    ; 1,02    ; 0,99    ; 1,02    ; 1,16    ; 0,96    ; 0,92    ; 0,94    ; 1,94    ; 1,20    ; 1,11    ; 1,20    ; 1,84    ; 0,80    ; 0,85    ; 1,59    ; 1,02    ; 1,07    ; 1,05    ; 1,10    ; 1,09    ; 1,07    ; 1,30    ; 0,96    
2017-03-01;3;39,4%;4,2%;23,2%;34,7%;4,5%;2,7%;21,1%;31,1%;9,2%;-7,8%;20,8%;13,9%;11,4%;51,0%;54,0%;37,8%;12,2%;-2,6%;54,5%;1,6%;28,9%;61,1%;5,2%;24,1%;-8,5%;23,0%;42,9%;37,5%;26,6%;6,0%;; 1,39    ; 1,04    ; 1,23    ; 1,35    ; 1,04    ; 1,03    ; 1,21    ; 1,31    ; 1,09    ; 0,92    ; 1,21    ; 1,14    ; 1,11    ; 1,51    ; 1,54    ; 1,38    ; 1,12    ; 0,97    ; 1,55    ; 1,02    ; 1,29    ; 1,61    ; 1,05    ; 1,24    ; 0,91    ; 1,23    ; 1,43    ; 1,37    ; 1,27    ; 1,06    
2016-03-01;3;-3,7%;15,8%;-2,7%;2,4%;15,0%;15,5%;29,7%;10,0%;-7,0%;33,0%;1,1%;-9,6%;21,6%;-4,8%;-27,7%;4,0%;23,6%;-16,8%;-47,2%;31,3%;6,7%;-19,9%;4,2%;22,4%;7,0%;10,4%;-23,6%;27,1%;-4,9%;33,3%;; 0,96    ; 1,16    ; 0,97    ; 1,02    ; 1,15    ; 1,16    ; 1,30    ; 1,10    ; 0,93    ; 1,33    ; 1,01    ; 0,90    ; 1,22    ; 0,95    ; 0,72    ; 1,04    ; 1,24    ; 0,83    ; 0,53    ; 1,31    ; 1,07    ; 0,80    ; 1,04    ; 1,22    ; 1,07    ; 1,10    ; 0,76    ; 1,27    ; 0,95    ; 1,33    
2015-03-01;3;8,7%;18,4%;38,5%;8,6%;69,6%;57,4%;70,1%;8,1%;15,1%;65,3%;25,9%;14,1%;27,9%;-4,5%;124,1%;3,4%;-17,0%;26,0%;-37,5%;29,2%;5,5%;-16,2%;20,1%;14,0%;36,0%;34,0%;30,5%;6,2%;22,4%;18,9%;; 1,09    ; 1,18    ; 1,39    ; 1,09    ; 1,70    ; 1,57    ; 1,70    ; 1,08    ; 1,15    ; 1,65    ; 1,26    ; 1,14    ; 1,28    ; 0,96    ; 2,24    ; 1,03    ; 0,83    ; 1,26    ; 0,62    ; 1,29    ; 1,06    ; 0,84    ; 1,20    ; 1,14    ; 1,36    ; 1,34    ; 1,30    ; 1,06    ; 1,22    ; 1,19    
2014-03-01;3;29,5%;5,6%;25,2%;23,8%;64,3%;23,6%;31,0%;21,1%;15,2%;6,9%;26,0%;19,5%;12,0%;24,5%;82,5%;49,3%;16,2%;40,6%;4,2%;23,4%;13,5%;37,2%;28,6%;32,5%;39,6%;28,8%;10,1%;23,3%;;10,0%;; 1,30    ; 1,06    ; 1,25    ; 1,24    ; 1,64    ; 1,24    ; 1,31    ; 1,21    ; 1,15    ; 1,07    ; 1,26    ; 1,19    ; 1,12    ; 1,24    ; 1,83    ; 1,49    ; 1,16    ; 1,41    ; 1,04    ; 1,23    ; 1,14    ; 1,37    ; 1,29    ; 1,33    ; 1,40    ; 1,29    ; 1,10    ; 1,23    ;  ; 1,10    
2013-03-01;3;2,2%;25,2%;33,5%;10,3%;67,7%;24,2%;42,3%;13,1%;8,3%;25,3%;12,5%;7,5%;25,0%;26,6%;222,3%;-1,2%;8,9%;14,4%;0,0%;12,3%;-1,3%;0,0%;-10,6%;7,1%;50,8%;36,3%;34,1%;30,7%;;-2,8%;; 1,02    ; 1,25    ; 1,34    ; 1,10    ; 1,68    ; 1,24    ; 1,42    ; 1,13    ; 1,08    ; 1,25    ; 1,12    ; 1,08    ; 1,25    ; 1,27    ; 3,22    ; 0,99    ; 1,09    ; 1,14    ; 1,00    ; 1,12    ; 0,99    ; 1,00    ; 0,89    ; 1,07    ; 1,51    ; 1,36    ; 1,34    ; 1,31    ;  ; 0,97    
2012-03-01;3;8,8%;19,7%;12,3%;0,3%;28,5%;9,3%;58,8%;-1,4%;-3,6%;21,0%;11,6%;-1,7%;2,2%;-24,5%;-61,6%;-19,4%;-26,6%;40,3%;-40,8%;-1,3%;-5,0%;-40,8%;18,5%;-13,4%;-11,7%;4,9%;22,0%;-3,6%;;16,5%;; 1,09    ; 1,20    ; 1,12    ; 1,00    ; 1,28    ; 1,09    ; 1,59    ; 0,99    ; 0,96    ; 1,21    ; 1,12    ; 0,98    ; 1,02    ; 0,75    ; 0,38    ; 0,81    ; 0,73    ; 1,40    ; 0,59    ; 0,99    ; 0,95    ; 0,59    ; 1,18    ; 0,87    ; 0,88    ; 1,05    ; 1,22    ; 0,96    ;  ; 1,16    
2011-03-01;3;37,9%;24,6%;22,8%;4,6%;39,1%;33,8%;35,4%;6,9%;-2,3%;15,1%;0,9%;-1,9%;53,5%;22,8%;10,4%;31,6%;12,9%;5,8%;16,7%;14,3%;21,3%;16,7%;10,8%;12,8%;19,7%;35,9%;48,2%;-20,4%;;23,8%;; 1,38    ; 1,25    ; 1,23    ; 1,05    ; 1,39    ; 1,34    ; 1,35    ; 1,07    ; 0,98    ; 1,15    ; 1,01    ; 0,98    ; 1,53    ; 1,23    ; 1,10    ; 1,32    ; 1,13    ; 1,06    ; 1,17    ; 1,14    ; 1,21    ; 1,17    ; 1,11    ; 1,13    ; 1,20    ; 1,36    ; 1,48    ; 0,80    ;  ; 1,24    
2010-03-01;3;68,3%;26,2%;42,2%;68,3%;55,8%;49,3%;;97,9%;63,6%;16,6%;94,4%;71,5%;47,9%;82,6%;149,4%;32,0%;57,1%;33,3%;118,3%;25,4%;68,5%;118,3%;33,2%;145,6%;160,4%;62,1%;214,7%;94,0%;;169,9%;; 1,68    ; 1,26    ; 1,42    ; 1,68    ; 1,56    ; 1,49    ;  ; 1,98    ; 1,64    ; 1,17    ; 1,94    ; 1,72    ; 1,48    ; 1,83    ; 2,49    ; 1,32    ; 1,57    ; 1,33    ; 2,18    ; 1,25    ; 1,69    ; 2,18    ; 1,33    ; 2,46    ; 2,60    ; 1,62    ; 3,15    ; 1,94    ;  ; 2,70    
2009-03-01;3;-5,8%;-25,8%;-5,8%;-19,5%;-22,1%;-6,6%;;-23,3%;-39,9%;64,1%;-29,7%;-38,7%;-21,2%;-45,7%;-90,6%;-31,9%;-27,2%;-25,2%;-45,5%;-33,6%;-35,3%;-45,5%;-11,4%;-68,5%;-73,5%;-24,2%;-51,3%;-69,2%;;-59,5%;; 0,94    ; 0,74    ; 0,94    ; 0,80    ; 0,78    ; 0,93    ;  ; 0,77    ; 0,60    ; 1,64    ; 0,70    ; 0,61    ; 0,79    ; 0,54    ; 0,09    ; 0,68    ; 0,73    ; 0,75    ; 0,55    ; 0,66    ; 0,65    ; 0,55    ; 0,89    ; 0,32    ; 0,26    ; 0,76    ; 0,49    ; 0,31    ;  ; 0,41    
2008-03-01;3;-16,8%;10,7%;0,9%;-13,6%;-36,1%;9,2%;;-31,2%;-6,4%;-30,3%;-33,0%;-7,3%;27,7%;9,0%;-42,6%;-10,3%;35,8%;-27,4%;17,4%;13,4%;31,7%;17,4%;-12,3%;-11,4%;13,9%;-7,3%;-36,9%;26,7%;;;; 0,83    ; 1,11    ; 1,01    ; 0,86    ; 0,64    ; 1,09    ;  ; 0,69    ; 0,94    ; 0,70    ; 0,67    ; 0,93    ; 1,28    ; 1,09    ; 0,57    ; 0,90    ; 1,36    ; 0,73    ; 1,17    ; 1,13    ; 1,32    ; 1,17    ; 0,88    ; 0,89    ; 1,14    ; 0,93    ; 0,63    ; 1,27    ;  ;  
2007-03-01;3;4,4%;21,4%;-1,3%;20,4%;-3,7%;28,8%;;9,0%;13,7%;27,5%;47,4%;13,4%;53,8%;12,9%;;42,3%;4,6%;25,6%;37,1%;42,9%;8,6%;37,1%;47,8%;10,9%;23,1%;10,6%;-20,1%;56,8%;;;; 1,04    ; 1,21    ; 0,99    ; 1,20    ; 0,96    ; 1,29    ;  ; 1,09    ; 1,14    ; 1,27    ; 1,47    ; 1,13    ; 1,54    ; 1,13    ;  ; 1,42    ; 1,05    ; 1,26    ; 1,37    ; 1,43    ; 1,09    ; 1,37    ; 1,48    ; 1,11    ; 1,23    ; 1,11    ; 0,80    ; 1,57    ;  ;  
2006-03-01;3;28,8%;-2,7%;45,7%;42,2%;49,1%;1,3%;;21,9%;15,2%;10,7%;-14,4%;13,4%;-4,3%;16,5%;;54,4%;40,7%;-37,6%;25,9%;-7,4%;27,7%;25,9%;13,2%;-23,7%;115,3%;-9,4%;29,8%;40,6%;;;; 1,29    ; 0,97    ; 1,46    ; 1,42    ; 1,49    ; 1,01    ;  ; 1,22    ; 1,15    ; 1,11    ; 0,86    ; 1,13    ; 0,96    ; 1,17    ;  ; 1,54    ; 1,41    ; 0,62    ; 1,26    ; 0,93    ; 1,28    ; 1,26    ; 1,13    ; 0,76    ; 2,15    ; 0,91    ; 1,30    ; 1,41    ;  ;  
2005-03-01;3;24,2%;14,4%;57,2%;25,9%;40,9%;-10,5%;;6,8%;14,8%;34,3%;27,6%;17,8%;17,1%;29,8%;;7,1%;50,4%;10,3%;-52,7%;14,2%;-1,6%;-52,7%;28,6%;3,6%;24,8%;33,6%;65,9%;39,1%;;;; 1,24    ; 1,14    ; 1,57    ; 1,26    ; 1,41    ; 0,89    ;  ; 1,07    ; 1,15    ; 1,34    ; 1,28    ; 1,18    ; 1,17    ; 1,30    ;  ; 1,07    ; 1,50    ; 1,10    ; 0,47    ; 1,14    ; 0,98    ; 0,47    ; 1,29    ; 1,04    ; 1,25    ; 1,34    ; 1,66    ; 1,39    ;  ;  
2004-03-01;3;50,6%;6,5%;34,4%;14,3%;86,5%;24,1%;;39,1%;52,5%;30,9%;93,3%;51,4%;56,8%;28,6%;;91,6%;45,1%;24,1%;92,9%;47,5%;13,8%;92,9%;43,5%;53,9%;12,7%;35,5%;;16,5%;;;; 1,51    ; 1,06    ; 1,34    ; 1,14    ; 1,87    ; 1,24    ;  ; 1,39    ; 1,52    ; 1,31    ; 1,93    ; 1,51    ; 1,57    ; 1,29    ;  ; 1,92    ; 1,45    ; 1,24    ; 1,93    ; 1,47    ; 1,14    ; 1,93    ; 1,43    ; 1,54    ; 1,13    ; 1,36    ;  ; 1,16    ;  ;  
2003-03-01;3;6,4%;0,5%;-15,3%;13,9%;-19,1%;-30,9%;;7,3%;-1,4%;-15,3%;-45,7%;7,7%;-21,0%;-18,4%;;-73,6%;;-17,2%;-77,9%;-26,1%;-28,0%;-77,9%;-34,4%;-4,7%;32,0%;3,0%;;-49,4%;;;; 1,06    ; 1,01    ; 0,85    ; 1,14    ; 0,81    ; 0,69    ;  ; 1,07    ; 0,99    ; 0,85    ; 0,54    ; 1,08    ; 0,79    ; 0,82    ;  ; 0,26    ;  ; 0,83    ; 0,22    ; 0,74    ; 0,72    ; 0,22    ; 0,66    ; 0,95    ; 1,32    ; 1,03    ;  ; 0,51    ;  ;  
2002-03-01;3;23,8%;-19,1%;44,1%;19,6%;149,6%;66,7%;;0,8%;11,3%;99,5%;-2,2%;15,8%;69,4%;33,5%;;-0,3%;;38,0%;-33,5%;6,4%;34,7%;-33,5%;-18,3%;96,7%;-4,7%;76,0%;;-4,9%;;;; 1,24    ; 0,81    ; 1,44    ; 1,20    ; 2,50    ; 1,67    ;  ; 1,01    ; 1,11    ; 2,00    ; 0,98    ; 1,16    ; 1,69    ; 1,33    ;  ; 1,00    ;  ; 1,38    ; 0,67    ; 1,06    ; 1,35    ; 0,67    ; 0,82    ; 1,97    ; 0,95    ; 1,76    ;  ; 0,95    ;  ;  
2001-03-01;3;39,7%;-14,7%;68,1%;51,8%;35,5%;-70,7%;;65,0%;79,0%;45,7%;-34,0%;64,9%;55,1%;90,5%;;82,0%;;88,7%;20,5%;39,5%;75,3%;20,5%;-40,4%;7,8%;23,4%;64,8%;;118,7%;;;; 1,40    ; 0,85    ; 1,68    ; 1,52    ; 1,36    ; 0,29    ;  ; 1,65    ; 1,79    ; 1,46    ; 0,66    ; 1,65    ; 1,55    ; 1,90    ;  ; 1,82    ;  ; 1,89    ; 1,21    ; 1,39    ; 1,75    ; 1,21    ; 0,60    ; 1,08    ; 1,23    ; 1,65    ;  ; 2,19    ;  ;  
2000-03-01;3;3,6%;180,4%;5,8%;8,5%;;25,2%;;-9,6%;-24,9%;-4,1%;16,0%;-22,4%;-27,9%;;;72,8%;;-12,4%;87,0%;-8,7%;-23,4%;87,0%;63,2%;6,3%;147,4%;6,7%;;-11,8%;;;; 1,04    ; 2,80    ; 1,06    ; 1,08    ;  ; 1,25    ;  ; 0,90    ; 0,75    ; 0,96    ; 1,16    ; 0,78    ; 0,72    ;  ;  ; 1,73    ;  ; 0,88    ; 1,87    ; 0,91    ; 0,77    ; 1,87    ; 1,63    ; 1,06    ; 2,47    ; 1,07    ;  ; 0,88    ;  ;  
1999-03-01;3;-12,6%;15,0%;8,5%;-5,4%;;77,2%;;-16,6%;9,7%;15,4%;14,4%;16,0%;13,0%;;;-15,7%;;32,4%;15,8%;58,4%;-24,7%;15,8%;81,8%;6,1%;;21,4%;;-9,6%;;;; 0,87    ; 1,15    ; 1,09    ; 0,95    ;  ; 1,77    ;  ; 0,83    ; 1,10    ; 1,15    ; 1,14    ; 1,16    ; 1,13    ;  ;  ; 0,84    ;  ; 1,32    ; 1,16    ; 1,58    ; 0,75    ; 1,16    ; 1,82    ; 1,06    ;  ; 1,21    ;  ; 0,90    ;  ;  
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
